Filename,x,y,w,h,W,H
a30e483f2acbf83962a738554d4f07f0.jpg,685.0,159.0,21.0,27.0,771.0,512.0
53d170994886814552eb3066dfedd2ae.jpg,536.0,187.0,19.0,26.0,640.0,480.0
42f14239e7bcb857e94e30f0e0f3c37b.jpg,195.0,121.0,32.0,44.0,683.0,512.0
e5c4d85d27dfe47b8ce49bc2e554230c.jpg,217.0,168.0,17.0,22.0,683.0,512.0
3b3f10cb50b88c1dc3e836cbbe6c95c4.jpg,468.0,407.0,17.0,24.0,512.0,769.0
b67d9818823002b164e5e99c29f219c2.jpg,449.0,280.0,18.0,20.0,640.0,480.0
d3e79c21d7ee0cf8af2e987bead3fc2d.jpg,440.0,265.0,17.0,20.0,512.0,856.0
dcf5328434ec6b07e709f99ed73cd034.jpg,118.0,296.0,53.0,56.0,683.0,512.0
820293ad616a5a30b40d209ceec1c7ed.jpg,274.0,75.0,24.0,32.0,512.0,686.0
d632793bf38ba0aa114cb076ec8d39a7.jpg,270.0,157.0,27.0,29.0,683.0,512.0
3a6a43fe81be3248a67f79db8fdfc975.jpg,560.0,301.0,38.0,36.0,640.0,480.0
169de4aaf684c85d126f2c1900eb5636.jpg,104.0,185.0,34.0,41.0,683.0,512.0
ac1de3b30fc3134160402ad01fd4ba3d.jpg,652.0,112.0,31.0,40.0,766.0,512.0
2f54b6d120dbeaa056a481e6accc47b2.jpg,597.0,118.0,16.0,21.0,772.0,512.0
b19b3fb70dc1a99886c8e6b80e1a0ba5.jpg,161.0,464.0,19.0,22.0,512.0,683.0
64129c6c36023992b79ff56fab80c354.jpg,572.0,168.0,39.0,58.0,683.0,512.0
8826845d0f8832d7b31e5f0c70d548e7.jpg,397.0,292.0,21.0,26.0,512.0,683.0
0d815bb41cedbb1c97f5b2cecec7fc9a.jpg,338.0,541.0,24.0,25.0,512.0,768.0
fb8aa2e8144cae145dc932ed92333870.jpg,329.0,81.0,25.0,31.0,769.0,512.0
295985b599abee1717e8348571dad008.jpg,65.0,153.0,25.0,27.0,686.0,512.0
9eb253a98f13f20d2bdd471ad2e6a16f.jpg,640.0,99.0,19.0,30.0,758.0,512.0
2c22d998e684b66e6666dd2ef1479396.jpg,21.0,514.0,37.0,44.0,512.0,683.0
d8fdc8565931e306d7dd1d9e46f90a85.jpg,205.0,92.0,33.0,37.0,512.0,683.0
a20349f922c654705e1f13cde3e5445d.jpg,268.0,277.0,20.0,28.0,683.0,512.0
b66b4bda459c641f890d3ae738da6810.jpg,333.0,392.0,33.0,50.0,512.0,623.0
5cffc9dbf42ac622308cc38e2cc8ef41.jpg,285.0,116.0,22.0,28.0,512.0,584.0
e9abdef4108f5db05c7ff6f6cd40dbb3.jpg,301.0,421.0,22.0,28.0,676.0,512.0
aed2e9e7617f844a1a4519b166d9da0c.jpg,158.0,171.0,36.0,44.0,1013.0,512.0
82fb97341c7ee2796513e567c2803dc6.jpg,220.0,124.0,32.0,35.0,512.0,683.0
bdaf6462db918062c60e97f42c7fcb92.jpg,515.0,114.0,16.0,18.0,683.0,512.0
e04f452e7626a2afa0ee4a1f2476562a.jpg,154.0,142.0,17.0,23.0,683.0,512.0
33d5c9e30fcda768543d49b8748f4c9f.jpg,259.0,156.0,48.0,54.0,512.0,683.0
744ffe4737ecd9678228ca5a65d04192.jpg,406.0,121.0,16.0,21.0,716.0,512.0
d6a173a6998f4ac99eee398022b2957e.jpg,408.0,491.0,21.0,30.0,508.0,736.0
7ac7fc91f68925952fd196457cfebb8d.jpg,540.0,126.0,24.0,25.0,772.0,512.0
89d0d70f36b6a44df3af51b6c81c572e.jpg,504.0,114.0,27.0,35.0,735.0,512.0
e4dcd18792bcada6ece808ab573a0b9f.jpg,531.0,209.0,17.0,19.0,640.0,480.0
ef3068e364fbf03c0b21d15f9af9b6e0.jpg,325.0,469.0,46.0,58.0,512.0,683.0
0ca5a9f336818039d23c3d246fa0031a.jpg,454.0,261.0,16.0,22.0,650.0,487.0
5bce4492b98a46f7e0a687c3397e8f41.jpg,346.0,180.0,20.0,22.0,756.0,512.0
73bc139597214244e869b7d580942774.jpg,483.0,150.0,31.0,42.0,640.0,480.0
3d3222ab2109a0d778a730a5975637ba.jpg,176.0,53.0,26.0,35.0,683.0,512.0
1a7d80615fb5054bf8149e17b6cdfaad.jpg,522.0,293.0,30.0,39.0,683.0,512.0
0d8859a5b00f15c7084d8fdfe9de7665.jpg,129.0,218.0,17.0,24.0,766.0,512.0
4773eb79c305dd8e955847fe9afc09c8.jpg,344.0,90.0,22.0,33.0,512.0,683.0
7225a88b77450f84b6b6295cba8b3e08.jpg,355.0,21.0,32.0,42.0,683.0,512.0
553b8890a51aa067954abfa13210752e.jpg,246.0,289.0,19.0,21.0,769.0,512.0
870899a370ec20c5b210230ec75f54b0.jpg,210.0,417.0,18.0,23.0,512.0,684.0
6d4880166a4151c84d613f6ee73c2b18.jpg,190.0,295.0,61.0,43.0,716.0,512.0
2f6cde7d34096b3c31f9ae36a36b2beb.jpg,379.0,129.0,48.0,55.0,512.0,663.0
260fd6ada69338e7264eef2de707a667.jpg,517.0,54.0,22.0,34.0,772.0,512.0
7471881272dc2020f9f9d5b131254406.jpg,109.0,481.0,21.0,27.0,512.0,683.0
004b3846b311b122de4c4112b933dc9d.jpg,622.0,300.0,28.0,38.0,762.0,512.0
edca19c1686e52edbc3106f0fb7275ab.jpg,476.0,62.0,32.0,41.0,683.0,512.0
d5c0dc79eaa301f64e5d016160103a46.jpg,502.0,91.0,20.0,23.0,768.0,512.0
66a4f1f20eccb1fe37e618f9d168c741.jpg,394.0,91.0,16.0,19.0,640.0,480.0
2a15a0ccec40c52caffc900ed504e7b3.jpg,413.0,97.0,25.0,30.0,600.0,480.0
5d573e4f1433b1809a203ef00713d0d5.jpg,17.0,380.0,33.0,43.0,683.0,512.0
6ce0166cf1e3e9fd45b3194be11afabe.jpg,18.0,226.0,57.0,64.0,512.0,683.0
014606fa3eae375940d7ad7eb0f5e218.jpg,451.0,98.0,21.0,29.0,772.0,512.0
