Session,Bank,Array ID,Hemisphere,Region
Bf211114,0,5,R,CIT
Pa210210,0,1,L,CIT
Re220908,0,6,L,AIT
Pa200210,0,1,L,CIT
Ye200408,1,1,R,CIT
Ve220205,1,3,R,AIT
Na210730,0,1,R,V4
Ye200606_1,1,1,R,CIT
Ot210824_1,2,6,R,CIT
Fr220608,1,0,R,CIT
Fr220910,0,0,R,CIT
Fr210322,0,2,L,AIT
Pa210809,1,1,L,CIT
Bf200918,0,0,L,AIT
Re220912,1,6,L,AIT
Ye191107,0,0,R,CIT
Bo201107,1,3,R,AIT
Ye200531,0,0,R,CIT
Ve220606,2,2,R,AIT
Na220112,0,1,R,V4
Fr210313,0,0,R,CIT
Bf220830,1,8,R,AIT
Bf211103,1,5,R,CIT
Lo200316,0,0,R,CIT
Fr220915,1,0,R,CIT
Re201203,1,6,L,AIT
Bo220829,0,3,R,AIT
Na220919,3,2,L,AIT
Sw200403,1,1,L,CIT
Pa210123,0,1,L,CIT
Ve220108,3,2,R,AIT
Pa210308,1,2,L,CIT
Lo220107,0,2,L,CIT
Na220119,1,0,R,V2
Lo200409,1,1,R,CIT
Pa200406,0,2,L,CIT
Bf220903,0,7,R,V4
Ot210824,1,7,R,AIT
Pa191024_2,0,1,L,CIT
Re200311,1,4,R,CIT
Pa200124,0,1,L,CIT
Fr210308,0,0,R,CIT
Ye191104,1,1,R,CIT
Ve211208_2,0,3,R,AIT
Fr201208,0,1,L,CIT
Na220911,3,2,L,AIT
Pa200317,1,2,L,CIT
Na220913,3,2,L,AIT
Ot200423,1,5,L,CIT
Sw200407,1,1,L,CIT
Pa210204,0,1,L,CIT
Pa200405,0,2,L,CIT
Bf210930,2,6,R,AIT
Lo220119,1,2,L,CIT
Ve220117,0,3,R,AIT
Re200923,0,5,R,CIT
Lo220530,2,2,L,CIT
Pa200205_2,1,2,L,CIT
Lo220118,1,2,L,CIT
Bf220913,1,8,R,AIT
Bf211114,3,6,R,AIT
Na220914,0,1,R,V4
Fr220905,1,0,R,CIT
Lo220829,2,2,L,CIT
Bo201223,1,3,R,AIT
Ye200717,0,0,R,CIT
Na220906,0,1,R,V4
Sw200325,0,1,L,CIT
Pa200214,0,1,L,CIT
Na210914,1,0,R,V2
Bf220202,1,8,R,AIT
Bf220617,2,8,R,AIT
Ot200420,0,4,L,PIT
Pa210311,0,1,L,CIT
Bo200726,0,3,R,AIT
Bf220314,1,8,R,AIT
Pa200105_1,0,1,L,CIT
Bf210802,0,5,R,CIT
