Name,Screen res,Eye tracker,MLVersion,Rig
Ye191029,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Pa191031,1920 x 1080 165 Hz,None,"Jul 31, 2019 build 193",2
Pa191024_2,1920 x 1080 165 Hz,None,"Jul 31, 2019 build 193",2
Pa191028,1920 x 1080 165 Hz,None,"Jul 31, 2019 build 193",2
Ye191030,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Pa191029,1920 x 1080 165 Hz,None,"Jul 31, 2019 build 193",2
Pa191030,1920 x 1080 165 Hz,None,"Jul 31, 2019 build 193",2
Pa191024_1,1920 x 1080 165 Hz,None,"Jul 31, 2019 build 193",2
Pa191025,1920 x 1080 165 Hz,None,"Jul 31, 2019 build 193",2
Ye191031,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Lo200325,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Sw200325,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Ot200325,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Sw200322,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Ot200322,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Lo200413,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Sw200413,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Ot200413,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Bo200413,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Sw200412,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Ye200412,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Lo200412,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Ot200412,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Lo200321,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Sw200321,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Ot200321,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Sw200328,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Ot200328,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Lo200328,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Ot200323,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Sw200323,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Lo200323,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Sw200405,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Ot200405,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Pa200405,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Lo200405,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Lo200408,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
Pa200408,1600 x 1200 60 Hz,None,"May 9, 2019 build 187",1
